state,population,rate_per_pop,cases
Alabama,4779736,40.5,118018.172839506
Alaska,710231,36.2,19619.6408839779
Arizona,6392017,38.5,166026.415584416
Arkansas,2915918,50.7,57513.1755424063
California,37253956,28.7,1298047.24738676
Colorado,5029196,28.9,174020.62283737
Connecticut,3574097,16.4,217932.743902439
Delaware,897934,29.3,30646.2116040956
District of Columbia,601723,42.8,14058.9485981308
Florida,18801310,29.5,637332.542372881
Georgia,9687653,38.2,253603.481675393
Hawaii,1360301,30,45343.3666666667
Idaho,1567582,27.7,56591.4079422383
Illinois,12830632,29.5,434936.677966102
Indiana,6483802,34.8,186316.149425287
Iowa,3046355,25.3,120409.288537549
Kansas,2853118,35.4,80596.5536723164
Kentucky,4339367,43.5,99755.5632183908
Louisiana,4533372,45.1,100518.22616408
Maine,1328361,20.8,63863.5096153846
Maryland,5773552,24.7,233747.044534413
Massachusetts,6547629,15.4,425170.714285714
Michigan,9883640,27.8,355526.618705036
Minnesota,5303925,19.3,274814.766839378
Mississippi,2967297,50.2,59109.5019920319
Missouri,5988927,34.5,173592.086956522
Montana,989415,29.2,33884.0753424658
Nebraska,1826341,27.2,67144.8897058824
Nevada,2700551,36.1,74807.5069252078
New Hampshire,1316470,13.7,96092.700729927
New Jersey,8791894,18.7,470154.759358289
New Mexico,2059179,48.8,42196.2909836066
New York,19378102,21.2,914061.41509434
North Carolina,9535483,34.9,273223.008595989
North Dakota,672591,28.2,23850.7446808511
Ohio,11536504,31.5,366238.222222222
Oklahoma,3751351,47.8,78480.1464435146
Oregon,3831074,25.8,148491.240310078
Pennsylvania,12702379,24.9,510135.702811245
Rhode Island,1052567,21.3,49416.2910798122
South Carolina,4625364,39.1,118295.754475703
South Dakota,814180,34.3,23737.0262390671
Tennessee,6346105,40.8,155541.789215686
Texas,25145561,46.9,536152.686567164
Utah,2763885,23.1,119648.701298701
Vermont,625741,16.8,37246.4880952381
Virginia,8001024,24.5,326572.408163265
Washington,6724540,25.4,264745.669291339
West Virginia,1852994,43.5,42597.5632183908
Wisconsin,5686986,23.2,245128.706896552
Wyoming,563626,35.2,16012.1022727273